Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,nasalize,lateralize,tensify,Type,notes,n
cvlm-txn,젊든,점뜬,cvm.dxn,lm-t,md,0,1,,,1,lC+Obstruen,,
cvlm-sxpnita,젊습니다,점씀니다,cvm.Sxm.ni.ta,lm-s,mS,0,1,,,1,lC+Obstruen,,
cvlm-cito,젊지도,점지도,cvm.ci.to,lm-c,mc,0,1,,,0,lC+Obstruen,,
cvlm-canha,젊잖아,점짜나,cvm.Ja.na,lm-c,mJ,0,1,,,1,lC+Obstruen,,
cvlm-ci,젊지,점찌,cvm.Ji,lm-c,mJ,0,1,,,1,lC+Obstruen,,
cvlm-cimanyo,젊지만요,점찌만요,cvm.Ji.man.yo,lm-c,mJ,0,1,,,1,lC+Obstruen,,
cilxpalp-ko,지르밟고,지러발꼬,ci.lv.pal.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
cispalp-ke,짓밟게,짓발께,cis.pal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
cispalp-ci,짓밟지,짓빨찌,cis.bal.Ji,lp-c,lJ,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짝께,Jak.ge,lp-k,kg,0,1,,,1,lC+Obstruen,,
Jalp-ko,짧고,짤고,Jal.ko,lp-k,lk,1,0,,,0,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-kelakipota,짧게라기보다,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-kenama,짧게나마,짤께나마,Jal.ge.na.ma,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-kenama,짧게나마,짤께나마,Jal.ge.na.ma,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-kenama,짧게나마,짤께나마,Jal.ge.na.ma,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-kenxn,짧게는,짤께는,Jal.ge.nxn,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-kenxn,짧게는,짤께는,Jal.ge.nxn,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-keto,짧게도,짤께도,Jal.ge.to,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-kelato,짧게라도,짤께라도,Jal.ge.la.to,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짤꼬,Jal.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짤꼬,Jal.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짤꼬,Jal.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짤꼬,Jal.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짤꼬,Jal.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짤꼬,Jal.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짤꼬,Jal.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짤꼬,Jal.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짤꼬,Jal.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짤꼬,Jal.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짤꼬,Jal.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ki,짧기,짤끼,Jal.gi,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-kito,짧기도,짤끼도,Jal.gi.to,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-kin,짧긴,짤낀,Jal.gin,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ta,짧다,짤따,Jal.da,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-ta,짧다,짤따,Jal.da,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-takvna,짧다거나,짤따거나,Jal.da.kv.na,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-tako,짧다고,짤따고,Jal.da.ko,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-tako,짧다고,짤따고,Jal.da.ko,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-tako,짧다고,짤따고,Jal.da.ko,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-tako,짧다고,짤따고,Jal.da.ko,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-tanxn,짧다는,짤따는,Jal.da.nxn,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-tamyvn,짧다면,짤따면,Jal.da.myvn,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-txn,짧든,짤뜬,Jal.dxn,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-canha,짧잖아,짤짜나,Jal.Ja.na,lp-c,lJ,1,0,,,1,lC+Obstruen,,
Jalp-canhayo,짧잖아요,짤짜나요,Jal.Ja.na.yo,lp-c,lJ,1,0,,,1,lC+Obstruen,,
Jalpci,짧지,짤찌,Jal.Ji,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-ciman,짧지만,짤찌만,Jal.Ji.man,lp-c,lJ,1,0,,,1,lC+Obstruen,,
Jalpcimanxn,짧지만은,짤찌마는,Jal.Ji.ma.nxn,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-ciman,짧지만,짤찌만,Jal.Ji.man,lp-c,lJ,1,0,,,1,lC+Obstruen,,
Jalp-ciman,짧지만,짤찌만,Jal.Ji.man,lp-c,lJ,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧게,Jalp.ke,lp-k,lpk,0,0,,,0,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-kenxn,짧게는,짧께는,Jalp.ge.nxn,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-kenxn,짧게는,짧께는,Jalp.ge.nxn,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-kenxn,짧게는,짧께는,Jalp.ge.nxn,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짧꼬,Jalp.go,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짧꼬,Jalp.go,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짧꼬,Jalp.go,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-tamyvn,짧다면,짧따면,Jalp.da.myvn,lp-t,lpd,0,0,,,1,lC+Obstruen,,
Jalp-canha,짧잖아,짧짜나,Jalp.Ja.na,lp-c,lpJ,0,0,,,1,lC+Obstruen,,
Jalp-cin,짧진,짧찐,Jalp.Jin,lp-c,lpJ,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짭께,Jap.ge,lp-k,pg,0,1,,,1,lC+Obstruen,,
Jalp-ke,짧게,짭께,Jap.ge,lp-k,pg,0,1,,,1,lC+Obstruen,,
Jalp-ke,짧게,짭께,Jap.ge,lp-k,pg,0,1,,,1,lC+Obstruen,,
Jalp-ke,짧게,짭께,Jap.ge,lp-k,pg,0,1,,,1,lC+Obstruen,,
Jalp-kenama,짧게나마,짭께나마,Jap.ge.na.ma,lp-k,pg,0,1,,,1,lC+Obstruen,,
Jalp-ko,짧고,짭꼬,Jap.go,lp-k,pg,0,1,,,1,lC+Obstruen,,
Jalp-ko,짧고,짭꼬,Jap.go,lp-k,pg,0,1,,,1,lC+Obstruen,,
Jalp-kito,짧기도,짭끼도,Jap.gi.to,lp-k,pg,0,1,,,1,lC+Obstruen,,
Jalp-cito,짧지도,짭찌도,Jap.Ji.to,lp-c,pJ,0,1,,,1,lC+Obstruen,,
Poknvlp-ke,폭넓게,폭널께,Pok.nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Poknvlp-ke,폭넓게,폭널께,Pok.nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Poknvlp-ke,폭넓게,폭널께,Pok.nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Poknvlp-ke,폭넓게,폭널께,Pok.nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Poknvlp-ke,폭넓게,폭널께,Pok.nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Poknvlp-ke,폭넓게,폭널께,Pok.nvl.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Poknvlp-ke,폭넓게,폭넓께,Pok.nvlp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
halT-ke,핥게,할께,hal.ge,lT-k,lg,1,0,,,1,lC+Obstruen,,
halT-ko,핥고,할꼬,hal.go,lT-k,lg,1,0,,,1,lC+Obstruen,,
halT-ko,핥고,할꼬,hal.go,lT-k,lg,1,0,,,1,lC+Obstruen,,
hemalk-tvn,해맑던,해말떤,he.mal.dvn,lk-t,ld,1,0,,,1,lC+Obstruen,,
hemalk-tako,해맑다고,해맑따고,he.malk.da.ko,lk-t,lkd,0,0,,,1,lC+Obstruen,,
hulT-ko,훑고,훌코,hul.Ko,lT-k,lK,1,0,,,0,lC+Obstruen,,
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,,
palk-ko,밝고,밝꼬,palk.go,lk-k,lkg,0,0,,,1,lC+Obstruen,,
Jalp-ta,짧다,짧따,Jalp.da,lp-t,lpd,0,0,,,1,lC+Obstruen,,
Jalp-talanxn,짧다라는,짤떠라는,Jal.dv.la.nxn,lp-t,ld,1,0,,,1,lC+Obstruen,,
kvThalT-kisikxlo,겉핥기식으로,거탈끼시그로,kv.Tal.gi.si.kx.lo,lT-k,lg,1,0,,,1,lC+Obstruen,,
kvThalT-kisikxlo,겉핥기식으로,거탈끼시그로,kv.Tal.gi.si.kx.lo,lT-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
kvThalT-kilo,겉핥기로,걷탈끼로,kvt.Tal.gi.lo,lT-k,lg,1,0,,,1,lC+Obstruen,,
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,,
Jalp-tvlakoyo,짧더라고요,짤떠라고요,Jal.dv.la.ko.yo,lp-t,ld,1,0,,,1,lC+Obstruen,,
kvThalT-kisikxlo,겉핥기식으로,걷탈기시그로,kvt.Tal.ki.si.kx.lo,lT-k,lk,1,0,,,0,lC+Obstruen,,
kulm-ko,굶고,굶꼬,kulm.go,lm-k,lmg,0,0,,,1,lC+Obstruen,,
kvThalT-kisikxlo,겉핥기식으로,거탈기시그로,kv.Tal.ki.si.kx.lo,lT-k,lk,1,0,,,0,lC+Obstruen,,
kvThalT-kisikxlo,겉핥기식으로,거탈끼시그로,kv.Tal.gi.si.kx.lo,lT-k,lg,1,0,,,1,lC+Obstruen,,
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,,
palk-ko,밝고,밝꼬,palk.go,lk-k,lkg,0,0,,,1,lC+Obstruen,,
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
kxlk-canha,긁잖아,글자나,kxl.ca.na,lk-c,lc,1,0,,,0,lC+Obstruen,,
kxlk-canha,긁잖아,긁짜나,kxlk.Ja.na,lk-c,lkJ,0,0,,,1,lC+Obstruen,,
malk-tvlakoyo,맑더라고요,막떠라고요,mak.dv.la.ko.yo,lk-t,kd,0,1,,,1,lC+Obstruen,,
nvlp-ko,넓고,넑꼬,nvlk.go,lp-k,lkg,0,0,,,1,lC+Obstruen,,
palp-ko,밟고,박꼬,pak.go,lp-k,kg,0,1,,,1,lC+Obstruen,,
nvlp-tan,넓단,넓딴,nvlp.dan,lp-t,lpd,0,0,,,1,lC+Obstruen,,
kulm-ko,굶고,굶꼬,kulm.go,lm-k,lmg,0,0,,,1,lC+Obstruen,,
palp-ko,밟고,밟꼬,palp.go,lp-k,lpg,0,0,,,1,lC+Obstruen,,
nvlpkito,넓기도,넑끼도,nvlk.gi.to,lk-g,lkg,0,0,,,1,lC+Obstruen,,
palk-ko,밝고,밝꼬,palk.go,lk-k,lkg,0,0,,,1,lC+Obstruen,,
palk-tvla,밝더라,발떠라,pal.dv.la,lk-t,ld,1,0,,,1,lC+Obstruen,,
nvlp-ko,넓고,넓꼬,nvlp.go,lp-k,lpg,0,0,,,1,lC+Obstruen,,
kulk-ko,굵고,굵꼬,kulk.go,lk-k,lkg,0,0,,,1,lC+Obstruen,,
kulk-ko,굵고,굵꼬,kulk.go,lk-k,lkg,0,0,,,1,lC+Obstruen,,
kulk-cikkulkcikhake,굵직굵직하게,굵찍굵찍카게,kulk.Jik.kulk.Jik.Ka.ke,lk-c,lkJ,0,0,,,1,lC+Obstruen,,
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,,,1,lC+Obstruen,,
kulm-ko,굶고,굼꾸,kum.gu,lm-k,mg,0,1,,,1,lC+Obstruen,,
kulm-ko,굶고,굼꾸,kum.gu,lm-k,mg,0,1,,,1,lC+Obstruen,,
kulm-ko,굶고,굼꼬,kum.go,lm-k,mg,0,1,,,1,lC+Obstruen,,
kulm-konxn,굶고는,굼꾸는,kum.gu.nxn,lm-k,mg,0,1,,,1,lC+Obstruen,,
kulm-txnci,굶든지,굼뜬지,kum.dxn.ci,lm-t,md,0,1,,,1,lC+Obstruen,,
kulm-ci,굶지,굼찌,kum.Ji,lm-c,mJ,0,1,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짥께,Jalk.ge,lp-k,lkg,0,0,,,1,lC+Obstruen,,
ilk-ta,읽다,읽따,ilk.da,lk-t,lkd,0,0,,,1,lC+Obstruen,,
ilk-ta,읽다,익따,ik.da,lk-t,kd,0,1,,,1,lC+Obstruen,,
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ko,짧고,짤꼬,Jal.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,,
cvlm-tanxn,젊다는,젊따는,cvlm.da.nxn,lm-t,md,0,1,,,1,lC+Obstruen,,
yalp-ke,얇게,얄께,yal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
palp-ci,밟지,발찌,pal.Ji,lp-c,lJ,1,0,,,1,lC+Obstruen,,
ilk-ci,읽지,일찌,il.Ji,lk-c,lJ,1,0,,,1,lC+Obstruen,,
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,,
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,,
nvlp-ko,넓고,널꼬,nvl.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,,
palp-ko,밟고,발꼬,pal.go,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짥께,Jalk.ge,lp-k,lkg,0,0,,,1,lC+Obstruen,,
kvThalT-kisikxlo,겉핥기식으로,걷탈끼시그로,kvt.Tal.gi.si.kx.lo,lT-k,lg,1,0,,,0,lC+Obstruen,,
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,,
palk-ke,밝게,밝께,palk.ge,lk-k,lkg,0,0,,,1,lC+Obstruen,,
pulk-ke,붉게,붉께,pulk.ge,lk-k,lkg,0,0,,,1,lC+Obstruen,,
ilk-ci,읽지,읽찌,ilk.Ji,lk-c,lkJ,0,0,,,1,lC+Obstruen,,
nvlp-ci,넓지,넓찌,nvlp.Ji,lp-c,lpJ,0,0,,,1,lC+Obstruen,,
palk-ke,밝게,밝께,palk.ge,lk-k,lkg,0,0,,,1,lC+Obstruen,,
yalp-ke,얇게,얅께,yalk.ge,lp-k,lkg,0,0,,,1,lC+Obstruen,,
Jalp-ta,짧다,짤따,Jal.da,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짥께,Jalk.ge,lp-k,lkg,0,0,,,1,lC+Obstruen,,
Jalp-keto,짧게도,짤께도,Jal.ge.to,lp-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
ilk-ke,읽게,일께,il.ge,lk-k,lg,1,0,,,1,lC+Obstruen,,
ilk-ci,읽지,일찌,il.Ji,lk-c,lJ,1,0,,,1,lC+Obstruen,,
palk-ke,밝게,밝께,palk.ge,lk-k,lkg,0,0,,,1,lC+Obstruen,,
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,,
ilk-ko,읽고,읽꼬,ilk.go,lk-k,lkg,0,0,,,1,lC+Obstruen,,
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
nvlp-kin,넓긴,넓낀,nvlp.gin,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짥께,Jalk.ge,lp-k,lkg,0,0,,,1,lC+Obstruen,,
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-taka,짧다가,짤따가,Jal.da.ka,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,,
nvlp-ta,넓다,널따,nvl.da,lp-t,ld,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
malk-sxpniga,맑습니까,말씀니까,mal.Sxm.ni.ga,lk-s,lS,1,0,,,1,lC+Obstruen,,
nxlk-ko,늙고,늑꾸,nxk.gu,lk-k,kg,0,1,,,1,lC+Obstruen,,
talm-ko,닮고,담꼬,tam.go,lm-k,mg,0,1,,,1,lC+Obstruen,,
cvlm-ko,젊고,젊꼬,cvlm.go,lm-k,lmg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짧께,Jalp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
palk-ko,밝고,발꼬,pal.go,lk-k,lg,1,0,,,1,lC+Obstruen,,
hulT-kito,훑기도,훌끼도,hul.gi.to,lT-k,lg,1,0,,,1,lC+Obstruen,,
ilk-kvna,읽거나,일꺼나,il.gv.na,lk-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
ilk-ko,읽고,일꼬,il.go,lk-k,lg,1,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짥께,Jalk.ge,lp-k,lkg,0,0,,,1,lC+Obstruen,,
talm-ci,닮지,담찌,tam.Ji,lm-c,mJ,0,1,,,1,lC+Obstruen,,
talm-ko,닮고,닮꼬,talm.go,lm-k,lmg,0,0,,,1,lC+Obstruen,,
Jalp-ke,짧게,짤께,Jal.ge,lp-k,lg,1,0,,,1,lC+Obstruen,,
Poknvlp-ke,폭넓게,퐁넉께,PoN.nvk.ge,lp-k,kg,0,1,,,1,lC+Obstruen,,
Poknvlp-ke,폭넓게,퐁넓께,PoN.nvlp.ge,lp-k,lpg,0,0,,,1,lC+Obstruen,,
